,cluster,polygon_json,is_noise,num_total_grids,num_poor_grids,poor_grid_ratio,area_sq_km,Building_Count
0,0C,"{'type': 'Polygon', 'coordinates': [[(15.428237915039062, 73.98536682128906), (15.424118041992188, 73.98811340332031), (15.417251586914062, 73.99772644042969), (15.417251586914062, 74.00047302246094), (15.421371459960938, 74.00733947753906), (15.422744750976562, 74.00871276855469), (15.425491333007812, 74.01008605957031), (15.428237915039062, 74.01008605957031), (15.440597534179688, 74.00184631347656), (15.443344116210938, 73.99909973144531), (15.443344116210938, 73.99085998535156), (15.441970825195312, 73.98811340332031), (15.439224243164062, 73.98536682128906)]]}",False,291,194,0.666666667,6.812019,656
1,10C,"{'type': 'Polygon', 'coordinates': [[(14.932479858398438, 74.08424377441406), (14.929733276367188, 74.08561706542969), (14.926986694335938, 74.08836364746094), (14.926986694335938, 74.09111022949219), (14.931106567382812, 74.09523010253906), (14.933853149414062, 74.09523010253906), (14.936599731445312, 74.09248352050781), (14.939346313476562, 74.08836364746094), (14.939346313476562, 74.08699035644531), (14.937973022460938, 74.08424377441406)]]}",False,74,53,0.716216216,1.732266,46
2,11C,"{'type': 'Polygon', 'coordinates': [[(15.463943481445312, 74.06639099121094), (15.459823608398438, 74.07051086425781), (15.458450317382812, 74.07325744628906), (15.458450317382812, 74.08012390136719), (15.459823608398438, 74.08424377441406), (15.463943481445312, 74.08836364746094), (15.466690063476562, 74.08836364746094), (15.469436645507812, 74.08561706542969), (15.469436645507812, 74.07188415527344), (15.466690063476562, 74.06639099121094)]]}",False,134,95,0.7089552240000001,3.136806,213
3,12C,"{'type': 'Polygon', 'coordinates': [[(15.398025512695312, 74.10621643066406), (15.395278930664062, 74.10896301269531), (15.395278930664062, 74.11170959472656), (15.396652221679688, 74.11445617675781), (15.402145385742188, 74.11994934082031), (15.404891967773438, 74.11994934082031), (15.406265258789062, 74.11857604980469), (15.406265258789062, 74.11033630371094), (15.404891967773438, 74.10896301269531), (15.400772094726562, 74.10621643066406)]]}",False,82,64,0.780487805,1.9195380000000002,33
4,13C,"{'type': 'Polygon', 'coordinates': [[(15.516128540039062, 74.14329528808594), (15.514755249023438, 74.14466857910156), (15.513381958007812, 74.14741516113281), (15.513381958007812, 74.15290832519531), (15.514755249023438, 74.15428161621094), (15.517501831054688, 74.15565490722656), (15.520248413085938, 74.15565490722656), (15.522994995117188, 74.15428161621094), (15.522994995117188, 74.15016174316406), (15.520248413085938, 74.14466857910156), (15.518875122070312, 74.14329528808594)]]}",False,69,54,0.7826086959999999,1.615221,111
5,14C,"{'type': 'Polygon', 'coordinates': [[(15.429611206054688, 74.01145935058594), (15.426864624023438, 74.01420593261719), (15.425491333007812, 74.01832580566406), (15.425491333007812, 74.02381896972656), (15.426864624023438, 74.02656555175781), (15.430984497070312, 74.02931213378906), (15.435104370117188, 74.02931213378906), (15.436477661132812, 74.02793884277344), (15.437850952148438, 74.02107238769531), (15.437850952148438, 74.01832580566406), (15.435104370117188, 74.01420593261719), (15.433731079101562, 74.01283264160156), (15.430984497070312, 74.01145935058594)]]}",False,118,90,0.762711864,2.7622619999999998,73
6,15C,"{'type': 'Polygon', 'coordinates': [[(14.991531372070312, 74.05815124511719), (14.988784790039062, 74.05952453613281), (14.987411499023438, 74.06089782714844), (14.986038208007812, 74.06639099121094), (14.986038208007812, 74.06776428222656), (14.987411499023438, 74.07188415527344), (14.990158081054688, 74.07463073730469), (14.992904663085938, 74.07463073730469), (14.999771118164062, 74.06776428222656), (14.999771118164062, 74.06364440917969), (14.992904663085938, 74.05815124511719)]]}",False,113,77,0.681415929,2.6452169999999997,214
7,16C,"{'type': 'Polygon', 'coordinates': [[(15.165939331054688, 74.06227111816406), (15.163192749023438, 74.06364440917969), (15.161819458007812, 74.06501770019531), (15.160446166992188, 74.06776428222656), (15.164566040039062, 74.07188415527344), (15.167312622070312, 74.07188415527344), (15.171432495117188, 74.06776428222656), (15.171432495117188, 74.06639099121094), (15.167312622070312, 74.06227111816406)]]}",False,58,40,0.689655172,1.3577219999999999,57
8,17C,"{'type': 'Polygon', 'coordinates': [[(15.646591186523438, 73.79722595214844), (15.641098022460938, 73.79997253417969), (15.641098022460938, 73.80683898925781), (15.643844604492188, 73.80958557128906), (15.649337768554688, 73.80958557128906), (15.650711059570312, 73.80821228027344), (15.652084350585938, 73.80409240722656), (15.649337768554688, 73.79997253417969)]]}",False,75,54,0.72,1.755675,168
9,18C,"{'type': 'Polygon', 'coordinates': [[(15.715255737304688, 73.83567810058594), (15.712509155273438, 73.83842468261719), (15.712509155273438, 73.84254455566406), (15.718002319335938, 73.84529113769531), (15.720748901367188, 73.84254455566406), (15.720748901367188, 73.83979797363281), (15.719375610351562, 73.83705139160156)]]}",False,47,35,0.7446808509999999,1.100223,43
10,19C,"{'type': 'Polygon', 'coordinates': [[(15.639724731445312, 73.71345520019531), (15.636978149414062, 73.71620178222656), (15.636978149414062, 73.72032165527344), (15.639724731445312, 73.72306823730469), (15.642471313476562, 73.72444152832031), (15.645217895507812, 73.72306823730469), (15.646591186523438, 73.72169494628906), (15.645217895507812, 73.71482849121094), (15.643844604492188, 73.71345520019531)]]}",False,62,43,0.693548387,1.451358,246
11,1C,"{'type': 'Polygon', 'coordinates': [[(15.671310424804688, 73.81782531738281), (15.669937133789062, 73.82194519042969), (15.672683715820312, 73.82469177246094), (15.676803588867188, 73.82606506347656), (15.679550170898438, 73.82194519042969), (15.679550170898438, 73.81919860839844), (15.676803588867188, 73.81782531738281)]]}",False,47,35,0.7446808509999999,1.100223,77
12,20C,"{'type': 'Polygon', 'coordinates': [[(14.907760620117188, 74.07875061035156), (14.905014038085938, 74.08149719238281), (14.903640747070312, 74.08561706542969), (14.903640747070312, 74.08699035644531), (14.906387329101562, 74.09111022949219), (14.911880493164062, 74.09111022949219), (14.914627075195312, 74.08836364746094), (14.914627075195312, 74.08561706542969), (14.910507202148438, 74.07875061035156)]]}",False,75,50,0.666666667,1.755675,72
13,21C,"{'type': 'Polygon', 'coordinates': [[(15.509262084960938, 74.01283264160156), (15.507888793945312, 74.01695251464844), (15.507888793945312, 74.01832580566406), (15.513381958007812, 74.02107238769531), (15.514755249023438, 74.02107238769531), (15.516128540039062, 74.01832580566406), (15.517501831054688, 74.01420593261719), (15.514755249023438, 74.01283264160156)]]}",False,46,35,0.760869565,1.076814,11
14,22C,"{'type': 'Polygon', 'coordinates': [[(15.491409301757812, 74.13230895996094), (15.487289428710938, 74.13642883300781), (15.487289428710938, 74.13917541503906), (15.490036010742188, 74.14192199707031), (15.494155883789062, 74.14192199707031), (15.496902465820312, 74.13780212402344), (15.496902465820312, 74.13505554199219), (15.494155883789062, 74.13230895996094)]]}",False,56,40,0.7142857140000001,1.310904,115
15,23C,"{'type': 'Polygon', 'coordinates': [[(15.358200073242188, 74.08012390136719), (15.355453491210938, 74.08287048339844), (15.355453491210938, 74.08561706542969), (15.356826782226562, 74.08699035644531), (15.360946655273438, 74.08836364746094), (15.363693237304688, 74.08561706542969), (15.362319946289062, 74.08149719238281), (15.360946655273438, 74.08012390136719)]]}",False,43,31,0.7209302329999999,1.0065870000000001,51
16,24C,"{'type': 'Polygon', 'coordinates': [[(15.337600708007812, 73.97163391113281), (15.334854125976562, 73.97300720214844), (15.333480834960938, 73.97438049316406), (15.333480834960938, 73.97850036621094), (15.336227416992188, 73.98262023925781), (15.341720581054688, 73.98262023925781), (15.344467163085938, 73.97850036621094), (15.344467163085938, 73.97438049316406), (15.341720581054688, 73.97163391113281)]]}",False,72,53,0.7361111109999999,1.685448,289
17,25C,"{'type': 'Polygon', 'coordinates': [[(15.601272583007812, 74.00047302246094), (15.597152709960938, 74.00321960449219), (15.595779418945312, 74.00459289550781), (15.594406127929688, 74.00871276855469), (15.597152709960938, 74.01145935058594), (15.599899291992188, 74.01283264160156), (15.602645874023438, 74.01283264160156), (15.608139038085938, 74.00596618652344), (15.608139038085938, 74.00459289550781), (15.606765747070312, 74.00184631347656), (15.605392456054688, 74.00047302246094)]]}",False,85,62,0.729411765,1.9897650000000002,267
18,26C,"{'type': 'Polygon', 'coordinates': [[(15.029983520507812, 74.10072326660156), (15.027236938476562, 74.10209655761719), (15.025863647460938, 74.10346984863281), (15.025863647460938, 74.10621643066406), (15.028610229492188, 74.10896301269531), (15.029983520507812, 74.10896301269531), (15.032730102539062, 74.10758972167969), (15.034103393554688, 74.10484313964844), (15.034103393554688, 74.10346984863281), (15.031356811523438, 74.10072326660156)]]}",False,42,31,0.738095238,0.9831780000000001,66
19,27C,"{'type': 'Polygon', 'coordinates': [[(15.334854125976562, 74.10484313964844), (15.333480834960938, 74.10621643066406), (15.332107543945312, 74.10896301269531), (15.332107543945312, 74.11033630371094), (15.334854125976562, 74.11308288574219), (15.337600708007812, 74.11308288574219), (15.340347290039062, 74.11033630371094), (15.340347290039062, 74.10758972167969), (15.337600708007812, 74.10484313964844)]]}",False,44,31,0.704545455,1.029996,61
20,28C,"{'type': 'Polygon', 'coordinates': [[(15.720748901367188, 73.78074645996094), (15.718002319335938, 73.78211975097656), (15.716629028320312, 73.78349304199219), (15.716629028320312, 73.78623962402344), (15.722122192382812, 73.78898620605469), (15.726242065429688, 73.78623962402344), (15.726242065429688, 73.78349304199219)]]}",False,43,32,0.744186047,1.0065870000000001,68
21,29C,"{'type': 'Polygon', 'coordinates': [[(15.608139038085938, 73.78211975097656), (15.605392456054688, 73.78349304199219), (15.604019165039062, 73.78486633300781), (15.604019165039062, 73.78761291503906), (15.606765747070312, 73.79035949707031), (15.609512329101562, 73.79035949707031), (15.612258911132812, 73.78761291503906), (15.612258911132812, 73.78623962402344), (15.610885620117188, 73.78349304199219), (15.609512329101562, 73.78211975097656)]]}",False,43,32,0.744186047,1.0065870000000001,0
22,2C,"{'type': 'Polygon', 'coordinates': [[(15.738601684570312, 73.78898620605469), (15.737228393554688, 73.79035949707031), (15.734481811523438, 73.79447937011719), (15.734481811523438, 73.79722595214844), (15.735855102539062, 73.80409240722656), (15.737228393554688, 73.80546569824219), (15.739974975585938, 73.80683898925781), (15.742721557617188, 73.80683898925781), (15.745468139648438, 73.80546569824219), (15.749588012695312, 73.80271911621094), (15.752334594726562, 73.79997253417969), (15.752334594726562, 73.79447937011719), (15.750961303710938, 73.79310607910156), (15.746841430664062, 73.79035949707031), (15.741348266601562, 73.78898620605469)]]}",False,160,120,0.75,3.7454400000000003,568
23,30C,"{'type': 'Polygon', 'coordinates': [[(15.610885620117188, 73.94554138183594), (15.608139038085938, 73.94828796386719), (15.608139038085938, 73.95103454589844), (15.612258911132812, 73.95378112792969), (15.613632202148438, 73.95378112792969), (15.616378784179688, 73.95103454589844), (15.616378784179688, 73.94828796386719), (15.615005493164062, 73.94691467285156), (15.612258911132812, 73.94554138183594)]]}",False,42,33,0.7857142859999999,0.9831780000000001,24
24,31C,"{'type': 'Polygon', 'coordinates': [[(14.959945678710938, 74.04991149902344), (14.958572387695312, 74.05128479003906), (14.958572387695312, 74.05815124511719), (14.961318969726562, 74.06089782714844), (14.964065551757812, 74.06089782714844), (14.966812133789062, 74.05815124511719), (14.966812133789062, 74.05677795410156), (14.965438842773438, 74.05265808105469), (14.962692260742188, 74.04991149902344)]]}",False,57,43,0.754385965,1.3343129999999999,111
25,32C,"{'type': 'Polygon', 'coordinates': [[(15.649337768554688, 73.92082214355469), (15.647964477539062, 73.92631530761719), (15.647964477539062, 73.92768859863281), (15.649337768554688, 73.92906188964844), (15.652084350585938, 73.92906188964844), (15.656204223632812, 73.92631530761719), (15.656204223632812, 73.92494201660156), (15.654830932617188, 73.92219543457031), (15.650711059570312, 73.92082214355469)]]}",False,41,32,0.780487805,0.9597690000000001,128
26,33C,"{'type': 'Polygon', 'coordinates': [[(15.255203247070312, 74.12406921386719), (15.251083374023438, 74.12818908691406), (15.251083374023438, 74.13093566894531), (15.253829956054688, 74.13368225097656), (15.259323120117188, 74.13368225097656), (15.262069702148438, 74.13093566894531), (15.262069702148438, 74.12818908691406), (15.259323120117188, 74.12544250488281)]]}",False,63,43,0.682539683,1.474767,78
27,34C,"{'type': 'Polygon', 'coordinates': [[(15.466690063476562, 74.08973693847656), (15.463943481445312, 74.09385681152344), (15.463943481445312, 74.09523010253906), (15.466690063476562, 74.09797668457031), (15.468063354492188, 74.09797668457031), (15.470809936523438, 74.09660339355469), (15.472183227539062, 74.09523010253906), (15.472183227539062, 74.09385681152344), (15.470809936523438, 74.09111022949219), (15.469436645507812, 74.08973693847656)]]}",False,41,31,0.7560975609999999,0.9597690000000001,27
28,35C,"{'type': 'Polygon', 'coordinates': [[(15.454330444335938, 74.01145935058594), (15.450210571289062, 74.01420593261719), (15.450210571289062, 74.01695251464844), (15.452957153320312, 74.01969909667969), (15.455703735351562, 74.01969909667969), (15.458450317382812, 74.01695251464844), (15.458450317382812, 74.01420593261719), (15.455703735351562, 74.01145935058594)]]}",False,43,33,0.76744186,1.0065870000000001,35
29,36C,"{'type': 'Polygon', 'coordinates': [[(15.539474487304688, 74.15153503417969), (15.535354614257812, 74.15565490722656), (15.535354614257812, 74.15702819824219), (15.538101196289062, 74.15977478027344), (15.540847778320312, 74.15977478027344), (15.542221069335938, 74.15840148925781), (15.543594360351562, 74.15428161621094), (15.540847778320312, 74.15153503417969)]]}",False,42,32,0.761904762,0.9831780000000001,54
30,3C,"{'type': 'Polygon', 'coordinates': [[(15.469436645507812, 74.00047302246094), (15.466690063476562, 74.00321960449219), (15.468063354492188, 74.00733947753906), (15.470809936523438, 74.01008605957031), (15.472183227539062, 74.01008605957031), (15.476303100585938, 74.00733947753906), (15.476303100585938, 74.00596618652344), (15.474929809570312, 74.00321960449219), (15.472183227539062, 74.00047302246094)]]}",False,52,36,0.692307692,1.217268,23
31,4C,"{'type': 'Polygon', 'coordinates': [[(15.674057006835938, 73.74504089355469), (15.668563842773438, 73.74778747558594), (15.668563842773438, 73.75602722167969), (15.669937133789062, 73.75740051269531), (15.675430297851562, 73.75740051269531), (15.679550170898438, 73.75328063964844), (15.679550170898438, 73.75053405761719), (15.676803588867188, 73.74641418457031), (15.675430297851562, 73.74504089355469)]]}",False,78,57,0.7307692309999999,1.8259020000000001,218
32,5C,"{'type': 'Polygon', 'coordinates': [[(15.492782592773438, 74.07600402832031), (15.485916137695312, 74.07875061035156), (15.479049682617188, 74.08287048339844), (15.477676391601562, 74.08424377441406), (15.476303100585938, 74.09248352050781), (15.476303100585938, 74.09523010253906), (15.477676391601562, 74.09660339355469), (15.480422973632812, 74.09797668457031), (15.483169555664062, 74.09797668457031), (15.506515502929688, 74.09111022949219), (15.507888793945312, 74.08973693847656), (15.512008666992188, 74.08287048339844), (15.512008666992188, 74.08012390136719), (15.510635375976562, 74.07875061035156), (15.505142211914062, 74.07737731933594), (15.495529174804688, 74.07600402832031)]]}",False,338,234,0.692307692,7.912242,482
33,6C,"{'type': 'Polygon', 'coordinates': [[(15.160446166992188, 74.04167175292969), (15.156326293945312, 74.04304504394531), (15.153579711914062, 74.04853820800781), (15.153579711914062, 74.04991149902344), (15.156326293945312, 74.05265808105469), (15.170059204101562, 74.05815124511719), (15.174179077148438, 74.05677795410156), (15.175552368164062, 74.05540466308594), (15.176925659179688, 74.05265808105469), (15.174179077148438, 74.04579162597656), (15.172805786132812, 74.04441833496094), (15.168685913085938, 74.04167175292969)]]}",False,177,120,0.6779661020000001,4.143393,155
34,7C,"{'type': 'Polygon', 'coordinates': [[(15.425491333007812, 74.08699035644531), (15.422744750976562, 74.08973693847656), (15.422744750976562, 74.09248352050781), (15.426864624023438, 74.09523010253906), (15.428237915039062, 74.09523010253906), (15.430984497070312, 74.09248352050781), (15.429611206054688, 74.08836364746094), (15.426864624023438, 74.08699035644531)]]}",False,41,32,0.780487805,0.9597690000000001,273
35,8C,"{'type': 'Polygon', 'coordinates': [[(15.141220092773438, 74.08973693847656), (15.138473510742188, 74.09248352050781), (15.138473510742188, 74.09385681152344), (15.139846801757812, 74.09797668457031), (15.142593383789062, 74.10072326660156), (15.149459838867188, 74.10072326660156), (15.152206420898438, 74.09523010253906), (15.148086547851562, 74.09111022949219), (15.143966674804688, 74.08973693847656)]]}",False,83,60,0.7228915659999999,1.9429470000000002,38
36,9C,"{'type': 'Polygon', 'coordinates': [[(14.972305297851562, 74.04304504394531), (14.969558715820312, 74.04441833496094), (14.966812133789062, 74.04716491699219), (14.966812133789062, 74.05265808105469), (14.968185424804688, 74.05540466308594), (14.969558715820312, 74.05677795410156), (14.972305297851562, 74.05677795410156), (14.979171752929688, 74.05265808105469), (14.980545043945312, 74.05128479003906), (14.980545043945312, 74.04991149902344), (14.979171752929688, 74.04716491699219), (14.976425170898438, 74.04304504394531)]]}",False,98,68,0.6938775509999999,2.294082,103
